procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30201488 220936 30873644    0    0     0    36 3677 4585  6  0 94  0  0
 1  0      0 30197392 220936 30873652    0    0     0     0 3666 4627  6  0 94  0  0
 1  0      0 30197392 220936 30873664    0    0     0     0 3660 4495  6  0 94  0  0
 1  0      0 30197392 220936 30873664    0    0     0     0 3807 4507  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30197392 220936 30873668    0    0     0    40 3637 4577  6  0 94  0  0
 1  0      0 30193296 220944 30873696    0    0     0    32 3753 5392  7  0 93  0  0
 1  0      0 30193296 220944 30873712    0    0     0     0 3695 4478  6  0 94  0  0
 1  0      0 30193296 220944 30873712    0    0     0     0 3778 4415  6  0 94  0  0
 1  0      0 30193296 220944 30873720    0    0     0     0 3845 4491  6  0 94  0  0
 1  0      0 30193296 220944 30873744    0    0     0     0 3837 4523  6  0 94  0  0
 1  0      0 30193296 220952 30873748    0    0     0   172 3781 4466  6  0 94  0  0
 1  0      0 30189200 220952 30873752    0    0     0    20 3847 4449  6  0 94  0  0
 1  0      0 30189200 220952 30873760    0    0     0     0 3778 4399  6  0 94  0  0
 1  0      0 30189200 220952 30873768    0    0     0     0 3764 4472  6  0 94  0  0
 1  0      0 30185104 220960 30873760    0    0     0    20 3658 4406  6  0 94  0  0
 1  0      0 30185104 220968 30873772    0    0     0    96 3774 5726  7  0 93  0  0
 1  0      0 30184852 220968 30873816    0    0     0     0 3733 4624  6  0 94  0  0
 1  0      0 30180756 220968 30873824    0    0     0     0 3743 4581  6  0 94  0  0
 1  0      0 30180252 220968 30873828    0    0     0     0 3758 4574  6  0 94  0  0
 1  0      0 30180252 220968 30873836    0    0     0     0 3741 4605  6  0 94  0  0
 1  0      0 30176156 220976 30873836    0    0     0    36 3703 4483  6  0 94  0  0
 1  0      0 30176156 220976 30873844    0    0     0    36 3834 4603  6  0 94  0  0
 1  0      0 30176156 220984 30873848    0    0     0    12 3790 4488  6  0 94  0  0
 1  0      0 30176156 220984 30873448    0    0     0   256 3867 4570  6  0 94  0  0
 1  0      0 30172060 220984 30873648    0    0     0     0 3788 4536  6  0 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30172060 220992 30873648    0    0     0    40 3718 5335  7  0 93  0  0
 1  0      0 30171808 220992 30873692    0    0     0     0 3713 4518  6  0 94  0  0
 1  0      0 30167712 220992 30873700    0    0     0     0 3765 4558  6  0 94  0  0
 1  0      0 30167712 220992 30873708    0    0     0     8 3755 4613  6  0 94  0  0
 1  0      0 30163616 221000 30873712    0    0     0    48 3780 4624  6  0 94  0  0
 1  0      0 30163616 221008 30873716    0    0     0    56 3709 4498  6  0 94  0  0
 1  0      0 30159520 221008 30873720    0    0     0     0 3787 4572  6  0 94  0  0
 1  0      0 30159520 221008 30873728    0    0     0     0 3705 4422  6  0 94  0  0
 1  0      0 30159520 221008 30873732    0    0     0     0 3685 4408  6  0 94  0  0
 1  0      0 30159520 221008 30873740    0    0     0     0 3610 4357  6  0 94  0  0
 1  0      0 30147232 221016 30873736    0    0     0    16 3695 5373  7  0 93  0  0
 1  0      0 30147232 221016 30873780    0    0     0     0 3650 4508  6  0 94  0  0
 1  0      0 30147232 221016 30873784    0    0     0   160 3725 4555  6  0 94  0  0
 1  0      0 30147232 221016 30873792    0    0     0     0 3824 4574  6  0 94  0  0
 1  0      0 30147232 221016 30873812    0    0     0     0 3675 4551  6  0 94  0  0
 1  0      0 30146980 221024 30873820    0    0     0    36 3480 4432  6  0 94  0  0
 1  0      0 30146980 221024 30873824    0    0     0     0 3573 5246  6  0 94  0  0
 1  0      0 30146728 221024 30873828    0    0     0     0 3676 5343  6  0 94  0  0
 1  0      0 30146728 221024 30873836    0    0     0    44 3590 4273  6  0 94  0  0
 1  0      0 30146728 221032 30873840    0    0     0    12 3716 4270  6  0 94  0  0
 1  0      0 30142632 221040 30873836    0    0     0    32 3844 5265  7  0 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 30140616 221040 30873880    0    0     0    20 3671 4382  6  0 94  0  0
 1  0      0 30136268 221040 30873888    0    0     0     0 3692 4334  6  0 94  0  0
 1  0      0 30136268 221040 30873892    0    0     0     0 3736 4474  6  0 94  0  0
 1  0      0 30136268 221040 30873896    0    0     0    76 3754 4503  6  0 94  0  0
 1  0      0 30136268 221048 30873892    0    0     0    36 3810 4553  6  0 93  0  0
 1  0      0 30136268 221048 30873912    0    0     0     0 3762 4476  6  0 94  0  0
 1  0      0 30136268 221048 30873912    0    0     0     0 3444 4485  6  0 94  0  0
 1  0      0 30136268 221048 30873920    0    0     0     0 3753 4581  6  0 93  0  0
 1  0      0 30136016 221048 30873944    0    0     0     0 3720 4508  6  0 94  0  0
 1  0      0 30131920 221056 30873940    0    0     0    72 3805 5426  7  0 93  0  0
